20MICRONS 	20 MICRONS LTD                                    	NSE       
SALORAINTL	SALORA INTERNATIONAL LTD                          	NSE       
SALSTEEL  	S.A.L. STEEL LTD.                                 	NSE       
SAMBHAAV  	SAMBHAAV MEDIA LTD                                	NSE       
SAMTEL    	SAMTEL COLOR LTD                                  	NSE       
SANDESH   	                                                  	NSE       
SANGAMIND 	SANGAM (INDIA) LTD                                	NSE       
SANGHIIND 	SANGHI INDUSTRIES LTD                             	NSE       
SANGHVIFOR	SANGHVI FOR & ENG LTD                             	NSE       
SANGHVIMOV	SANGHVI MOVERS LTD                                	NSE       
SANWARIA  	SANWARIA AGRO OILS LTD                            	NSE       
SARDAEN   	SARDA ENERGY & MIN LTD                            	NSE       
SAREGAMA  	SAREGAMA INDIA LIMITED                            	NSE       
SARLAPOLY 	SARLA PERF. FIBERS LTD                            	NSE       
SASKEN    	SASKEN COMMU TECHNO LTD                           	NSE       
SATHAISPAT	SATHAVAHANA ISPAT LTD                             	NSE       
SBBJ      	STATE BANK OF BIKANER & J                         	NSE       
SBIN      	State Bank of India                               	NSE       
SBT       	STATE BANK OF TRAVANCORE                          	NSE       
SCI       	SHIPPING CORP OF INDIA LT                         	NSE       
SEAMECLTD 	SEAMEC LIMITED                                    	NSE       
SELAN     	SELAN EXPLO. TECH LTD                             	NSE       
SELMCL    	SEL MANU. CO. LTD.                                	NSE       
SERVALL   	SERVALAKSHMI PAPER LTD                            	NSE       
SESHAPAPER	SESHASAYEE PAPER & BOARDS                         	NSE       
SGJHL     	SH GANESH JEWEL HOUSE LTD                         	NSE       
SGL       	STL GLOBAL LIMITED                                	NSE       
SHAHALLOYS	SHAH ALLOYS LIMITED                               	NSE       
SHALPAINTS	SHALIM PAINTS LTD                                 	NSE       
SHANTIGEAR	SHANTHI GEARS LTD                                 	NSE       
SHARIABEES	SHARIAH BENCHMARK ETF                             	NSE       
SHILPAMED 	SHILPA MEDICARE LTD                               	NSE       
SHILPI    	SHILPI CABLE TECH LTD                             	NSE       
SHIVAMAUTO	SHIVAM AUTO.LTD                                   	NSE       
SHIVTEX   	SHIVA TEXYARN LIMITED                             	NSE       
SHOPERSTOP	SHOPPERS STOP LIMITED                             	NSE       
SHREECEM  	SHREE CEMENTS LTD                                 	NSE       
SHREERAMA 	SHREE RAMA MULTI TECH LTD                         	NSE       
SHRENUJ   	SHRENUJ & CO LTD                                  	NSE       
SHREYANIND	SHREYANS INDUSTRIES LTD                           	NSE       
SHREYAS   	SHREYAS SHIPPING & LOGIST                         	NSE       
SHRIRAMCIT	SHRIRAM CITYUNI FIN.LTD.                          	NSE       
SHRIRAMEPC	SHRIRAM EPC LTD.                                  	NSE       
SHYAMTEL  	SHYAM TELECOM LIMITED                             	NSE       
SICAGEN   	SICAGEN INDIA LIMITED                             	NSE       
SICAL     	SICAL LOGISTICS LIMITED                           	NSE       
SIEMENS   	SIEMENS LTD                                       	NSE       
SILINV    	SIL INVESTMENTS LIMITED                           	NSE       
SIMPLEX   	SIMPLEX PROJECTS LTD.                             	NSE       
SIMPLEXINF	SIMPLEX INFRASTRUCTURES L                         	NSE       
SINTEX    	SINTEX INDUSTRIES LTD                             	NSE       
SITASHREE 	SITA SHREE FOOD PROD LTD                          	NSE       
SIYSIL    	SIYARAM SILK MILLS LTD                            	NSE       
SJVN      	SJVN LTD                                          	NSE       
SKFINDIA  	SKF INDIA LTD                                     	NSE       
SKMEGGPROD	SKM EGG PROD EXPORT(I) LT                         	NSE       
SMARTLINK 	SMARTLINK NETWORK SYS LTD                         	NSE       
SMLISUZU  	SML ISUZU LIMITED                                 	NSE       
SMPL      	SUJANA METAL PRODUCTS LTD                         	NSE       
SMSPHARMA 	SMS PHARMACEUTICALS LTD.                          	NSE       
SOBHA     	SOBHA DEVELOPERS LTD                              	NSE       
SOLARINDS 	SOLAR INDUSTRIES (I) LTD                          	NSE       
SOMANYCERA	SOMANY CERAMICS LIMITED                           	NSE       
SOMATEX   	SOMA TEXTILES & INDUST LT                         	NSE       
SONASTEER 	SONA KOYO STER SYS LTD                            	NSE       
SONATSOFTW	SONATA SOFTWARE LTD                               	NSE       
SOTL      	SAVITA OIL TECHNOLO. LTD                          	NSE       
SOUTHBANK 	THE SOUTH INDIAN BANK LTD                         	NSE       
SPARC     	SUN PHARMA ADV.RES.CO.LTD                         	NSE       
SPENTEX   	SPENTEX IND. LTD                                  	NSE       
SPIC      	SPIC LTD                                          	NSE       
SPLIL     	SPL INDUSTRIES LIMITED                            	NSE       
SPMLINFRA 	SPML INFRA LIMITED                                	NSE       
SPYL      	SHEKHAWATI POLY-YARN LTD.                         	NSE       
SREINFRA  	SREI INFRASTRUCTURE FINAN                         	NSE       
SRF       	SRF LTD                                           	NSE       
SRHHYPOLTD	SREE RAYALSEEMA HHP LTD.                          	NSE       
SRTRANSFIN	NCD DOUBLE BOND OPT IV                            	NSE       
SSWL      	STEEL STRIPS WHEELS LTD.                          	NSE       
STAR      	STRIDES ARCOLAB LIMITED                           	NSE       
STARPAPER 	STAR PAPER MILLS LTD                              	NSE       
STCINDIA  	THE STATE TRADING CORPN                           	NSE       
STERLINBIO	STERLING BIOTECH LTD                              	NSE       
STERTOOLS 	STERLING TOOLS LIMITED                            	NSE       
STINDIA   	STI INDIA LTD                                     	NSE       
STOREONE  	STORE ONE RETAIL IND LTD                          	NSE       
STRTECH   	STERLITE TECHNOLOGIES LTD                         	NSE       
SUBEX     	SUBEX LIMITED                                     	NSE       
SUBROS    	SUBROS LIMITED                                    	NSE       
SUDARSCHEM	SUDARSHAN CHEMICAL INDS L                         	NSE       
SUJANAUNI 	SUJANA UNI. INDS. LTD.                            	NSE       
SUMEETINDS	SUMEET IND LIMITED                                	NSE       
SUMMITSEC 	SUMMIT SECURITIES LTD                             	NSE       
SUNDARAM  	SUNDARAM MULTI PAP LTD                            	NSE       
SUNDARMFIN	SUNDARAM FINANCE LTD                              	NSE       
SUNDRMBRAK	SUNDARAM BRAK LININGS LTD                         	NSE       
SUNDRMFAST	SUNDRAM FASTENERS LTD                             	NSE       
SUNFLAG   	SUNFLAG IRON AND STEEL CO                         	NSE       
SUNILHITEC	SUNIL HITECH ENGR. LTD                            	NSE       
SUNPHARMA 	SUN PHARMACEUTICALS IND.                          	NSE       
SUNTECK   	SUNTECK REALTY LIMITED                            	NSE       
SUNTV     	SUN TV NETWORK LIMITED                            	NSE       
SUPERSPIN 	SUPER SPINNING MILLS LTD                          	NSE       
SUPPETRO  	SUPREME PETROCHEMICALS LT                         	NSE       
SUPRAJIT  	SUPRAJIT ENGINEERING LTD                          	NSE       
SUPREMEIND	SUPREME INDUSTRIES LTD                            	NSE       
SUPREMEINF	SUPREME INFRA. LTD.                               	NSE       
SURANAIND 	SURANA INDUSTRIES LTD                             	NSE       
SURANAT&P 	SURANA TELECOM AND POW LT                         	NSE       
SURYALAXMI	SURYALAKSHMI COT MIL LTD                          	NSE       
SURYAROSNI	SURYA ROSHNI LTD                                  	NSE       
SUTLEJTEX 	SUTLEJ TEXT & INDUS LTD                           	NSE       
SUVEN     	SUVEN LIFE SCIENCES LTD                           	NSE       
SUZLON    	SUZLON ENERGY LIMITED                             	NSE       
SWARAJENG 	SWARAJ ENGINES LTD                                	NSE       
SYMPHONY  	SYMPHONY LIMITED                                  	NSE       
SYNCOM    	SYNCOM HEALTHCARE LTD                             	NSE       
SYNDIBANK 	SYNDICATE BANK                                    	NSE       
TAINWALCHM	TAINWALA CHEMICAL AND PLA                         	NSE       
TAJGVK    	TAJ GVK HOTELS & RESORTS                          	NSE       
TAKE      	TAKE SOLUTIONS LTD                                	NSE       
TALBROAUTO	TALBROS AUTO. COMP. LTD                           	NSE       
TALWALKARS	TALWALKAR FITNESS LTD                             	NSE       
TANLA     	TANLA SOLUTIONS LIMITED                           	NSE       
TANTIACONS	TANTIA CONST LTD                                  	NSE       
TARAPUR   	TARAPUR TRANSFORMERS LTD                          	NSE       
TATACHEM  	TATA CHEMICALS LTD                                	NSE       
TATACOFFEE	TATA COFFEE LIMITED                               	NSE       
TATACOMM  	TATA COMMUNICATIONS LTD                           	NSE       
TATAELXSI 	TATA ELXSI LIMITED                                	NSE       
TATAGLOBAL	TATA GLOBAL BEVERAGES LTD                         	NSE       
TATAINVEST	TATA INVESTMENT CORP LTD                          	NSE       
TATAMETALI	TATA METALIKS LTD                                 	NSE       
TATAMOTORS	TATA MOTORS LIMITED                               	NSE       
TATAMTRDVR	TATA MOTORS DVR 'A' ORD                           	NSE       
TATAPOWER 	TATA POWER CO LTD                                 	NSE       
TATASPONGE	TATA SPONGE IRON LIMITED                          	NSE       
TATASTEEL 	TATA STEEL LIMITED                                	NSE       
TCI       	TRANSPORT CORPN OF INDIA                          	NSE       
TCIDEVELOP	TCI DEVELOPERS LIMITED                            	NSE       
TCIFINANCE	TCI FINANCE LTD                                   	NSE       
TCS       	TATA CONSULTANCY SERV LT                          	NSE       
TECHM     	TECH MAHINDRA LIMITED                             	NSE       
TECHNO    	TECHNO ELT & ENG CO. LTD                          	NSE       
TECHNOFAB 	TECHNOFAB ENG LTD                                 	NSE       
TEXMOPIPES	TEXMO PIPE & PRODUCTS LTD                         	NSE       
TEXRAIL   	TEXMACO RAIL & ENG. LTD.                          	NSE       
TFCILTD   	TOURISM FINANCE CORP. OF                          	NSE       
TFL       	TRANSWARRANTY FIN. LTD.                           	NSE       
THANGAMAYL	THANGAMAYIL JEWELLERY LTD                         	NSE       
THEMISMED 	THEMIS MEDICARE LTD.                              	NSE       
THERMAX   	THERMAX LTD                                       	NSE       
THIRUSUGAR	THIRU AROORAN SUGARS LTD                          	NSE       
THOMASCOOK	THOMAS COOK (INDIA) LTD                           	NSE       
TI        	TILAKNAGAR INDUSTRIES LTD                         	NSE       
TIDEWATER 	TIDE WATER OIL LTD                                	NSE       
TIIL      	TECHNOCRAFT IND LTD                               	NSE       
TIL       	TIL LTD                                           	NSE       
TIMESGTY  	TIMES GUARANTY LIMITED                            	NSE       
TIMETECHNO	TIME TECHNOPLAST LTD.                             	NSE       
TIMKEN    	TIMKEN INDIA LTD.                                 	NSE       
TINPLATE  	THE TINPLATE CO. (I) LTD                          	NSE       
TIPSINDLTD	TIPS INDUSTRIES LIMITED                           	NSE       
TIRUMALCHM	THIRUMALAI CHEMICALS LTD                          	NSE       
TITAN     	TITAN INDUSTRIES LTD                              	NSE       
TNPETRO   	TAMILNADU PETROPRODUCTS L                         	NSE       
TNPL      	TAMILNADU NEWSPRT & PAPER                         	NSE       
TODAYS    	TODAY'S WRITING PRODUCTS                          	NSE       
TOKYOPLAST	TOKYO PLAST INTL LTD                              	NSE       
TORNTPHARM	TORRENT PHARMACEUTICALS L                         	NSE       
TORNTPOWER	TORRENT POWER LTD                                 	NSE       
TRENT     	SERIES A TRENT CCCPS                              	NSE       
TRF       	TRF LIMITED                                       	NSE       
TRICOM    	TRICOM INDIA LIMITED                              	NSE       
TRIDENT   	TRIDENT LIMITED                                   	NSE       
TRIGYN    	TRIGYN TECHNOLOGIES LTD                           	NSE       
TRIL      	TRANS & RECTI. LTD                                	NSE       
TRIVENI   	TRIVENI ENGG. & INDS. LTD                         	NSE       
TTKPRESTIG	TTK PRESTIGE LTD                                  	NSE       
TTL       	T T LIMITED                                       	NSE       
TTML      	TATA TELESERV(MAHARASTRA)                         	NSE       
TUBEINVEST	TUBE INVESTMENTS OF INDIA                         	NSE       
TULSI     	TULSI EXTRUSION LTD.                              	NSE       
TVSELECT  	TVS ELECTRONICS LTD                               	NSE       
TVSMOTOR  	TVS MOTOR COMPANY  LTD                            	NSE       
TVSSRICHAK	TVS SRICHAKRA LIMITED                             	NSE       
TVTODAY   	TV TODAY NETWORK LTD                              	NSE       
TWL       	TITAGARH WAGONS LTD.                              	NSE       
UBHOLDINGS	UNITED BREW. (HOLD.) LTD                          	NSE       
UBL       	UNITED BREWERIES LTD                              	NSE       
UCALFUEL  	UCAL FUEL SYSTEMS LTD                             	NSE       
UCOBANK   	UCO BANK                                          	NSE       
UFLEX     	UFLEX LIMITED                                     	NSE       
UGARSUGAR 	THE UGAR SUGAR WORKS LTD                          	NSE       
ULTRACEMCO	ULTRATECH CEMENT LIMITED                          	NSE       
UMESLTD   	USHA MARTIN EDU & SOL LTD                         	NSE       
UNICHEMLAB	UNICHEM LABORATORIES LTD                          	NSE       
UNIENTER  	UNIPHOS ENTERPRISES LTD                           	NSE       
UNIONBANK 	UNION BANK OF INDIA                               	NSE       
UNIPLY    	UNIPLY INDUSTRIES LIMITED                         	NSE       
UNITECH   	UNITECH LTD                                       	NSE       
UNITEDBNK 	UNITED BANK OF INDIA                              	NSE       
UNITEDTEA 	                                                  	NSE       
UNITY     	UNITY INFRAPROJECTS LTD                           	NSE       
UNIVCABLES	UNIVERSAL CABLES LTD                              	NSE       
UPERGANGES	UPPER GANGES SUGAR & INDS                         	NSE       
USHAMART  	USHA MARTIN LTD.                                  	NSE       
USHERAGRO 	USHER AGRO LTD                                    	NSE       
UTTAMSTL  	UTTAM GALVA STEELS LTD                            	NSE       
UTTAMSUGAR	UTTAM SUGAR MILLS LTD.                            	NSE       
VADILALIND	VADILAL INDUSTRIES LTD                            	NSE       
VALUEIND  	VALUE INDUSTRIES LIMITED                          	NSE       
VARDHACRLC	VARDHAMAN ACRYLICS LTD                            	NSE       
VARDMNPOLY	VARDHMAN POLYTEX LTD.                             	NSE       
VASCONEQ  	VASCON ENGINEERS LTD                              	NSE       
VENKEYS   	VENKY'S (INDIA) LIMITED                           	NSE       
VENUSREM  	VENUS REMEDIES LIMITED                            	NSE       
VESUVIUS  	VESUVIUS INDIA LTD                                	NSE       
VGUARD    	V-GUARD IND LTD.                                  	NSE       
VHL       	VARDHMAN HOLDINGS LIMITED                         	NSE       
VICEROY   	VICEROY HOTELS LIMITED                            	NSE       
VIDEOIND  	VIDEOCON INDUSTRIES LIMIT                         	NSE       
VIJAYABANK	VIJAYA BANK                                       	NSE       
VIJSHAN   	VIJAY SHANTHI BUILD LTD                           	NSE       
VIMTALABS 	VIMTA LABS LIMITED                                	NSE       
VINATIORGA	VINATI ORGANICS LTD                               	NSE       
VINDHYATEL	VINDHYA TELELINKS LTD                             	NSE       
VINYLINDIA	VINYL CHEMICALS (I) LTD.                          	NSE       
VIPIND    	VIP INDUSTRIES LTD                                	NSE       
VISAKAIND 	VISAKA INDUSTRIES LIMITED                         	NSE       
VISASTEEL 	VISA STEEL LIMITED                                	NSE       
VISUINTL  	VISU INTERNATIONAL LTD                            	NSE       
VIVIMEDLAB	VIVIMED LABS LIMITED                              	NSE       
VLSFINANCE	VLS FINANCE LTD                                   	NSE       
VOLTAMP   	VOLTAMP TRANSFORMERS LTD                          	NSE       
VOLTAS    	VOLTAS LTD                                        	NSE       
VSTIND    	VST INDUSTRIES LTD                                	NSE       
VSTTILLERS	VST TILLERS TRACTORS LTD                          	NSE       
VTL       	VARDHMAN TEXTILES LIMITED                         	NSE       
WABAG     	VA TECH WABAG LTD                                 	NSE       
WALCHANNAG	WALCHANDNAGAR INDUSTRIES                          	NSE       
WEBELSOLAR	WEBSOL ENERGY SYSTEMS LTD                         	NSE       
WEIZFOREX 	WEIZMANN FOREX LIMITED                            	NSE       
WEIZMANIND	WEIZMANN LTD                                      	NSE       
WELCORP   	WELSPUN CORP LIMITED                              	NSE       
WELINV    	WELSPUN INV & COMM LTD                            	NSE       
WELSPUNIND	WELSPUN INDIA LTD                                 	NSE       
WENDT     	WENDT (INDIA) LIMITED                             	NSE       
WHEELS    	WHEELS INDIA LTD                                  	NSE       
WHIRLPOOL 	WHIRLPOOL OF INDIA LTD                            	NSE       
WILLAMAGOR	WILLIAMSON MAGOR                                  	NSE       
WIPRO     	WIPRO LTD                                         	NSE       
WOCKPHARMA	WOCKHARDT LIMITED                                 	NSE       
WSI       	W.S.INDUSTRIES (I) LTD.                           	NSE       
WSTCSTPAPR	WEST COAST PAPER MILLS LT                         	NSE       
XLENERGY  	XL ENERGY LIMITED                                 	NSE       
XPROINDIA 	XPRO INDIA LIMITED                                	NSE       
YESBANK   	YES BANK LIMITED                                  	NSE       
ZANDUREALT	ZANDU REALTY LIMITED                              	NSE       
ZEEL      	ZEE ENTERTAINMENT ENT LTD                         	NSE       
ZEELEARN  	ZEE LEARN LIMITED                                 	NSE       
ZENITHBIR 	ZENITH BIRLA (INDIA) LTD                          	NSE       
ZENSARTECH	ZENSAR TECHNOLOGIES  LTD                          	NSE       
ZICOM     	ZICOM ELECT SEC SYS LTD                           	NSE       
ZODIACLOTH	ZODIAC CLOTHING CO. LTD.                          	NSE       
ZODJRDMKJ 	ZODIAC JRD-MKJ LTD                                	NSE       
ZYDUSWELL 	ZYDUS WELLNESS LIMITED                            	NSE       
ZYLOG     	ZYLOG SYSTEMS LTD.                                	NSE       
