AAB       	Aberdeen International Inc                        	TSX       
HBP       	Helix Biopharm                                    	TSX       
HBU       	Betapro Gold Bullion 2X Daily Bull ETF            	TSX       
HCB       	Hamilton Capital Partners Inc Weight ETF          	TSX       
HCBB      	Harvest Banks and Buildings Income ETF            	TSX       
HCG       	Home Capital Group Inc                            	TSX       
HCN       	Horizons China High Dividend Yield ETF            	TSX       
HCON      	Horizons Conservative Tri ETF                     	TSX       
HDI       	Hardwoods Distribution Inc                        	TSX       
HE        	Hanwei Energy Services Corp                       	TSX       
HEA       	Horizons Enhd Income US Equity ETF                	TSX       
HEA.U     	Horizons Enhd Income US Equity USD ETF            	TSX       
HED       	Betapro S&P TSX Cap Engy 2X Dly Bear ETF          	TSX       
HEE       	Horizons Enhanced Income Energy ETF               	TSX       
HEF       	Horizons Enhanced Income Fin ETF                  	TSX       
HEJ       	Horizons Enhd Inc Intl Equity ETF                 	TSX       
HEMB      	Horizons Active Emerging Mkts Bond ETF            	TSX       
HEP       	Horizons Enhanced Income Gold Prod ETF            	TSX       
HERS      	Evolve Na Gender Diversity Idx Hgd ETF            	TSX       
HERS.B    	Evolve Na Gender Diversity Idx Uh ETF             	TSX       
HEU       	Betapro S&P TSX Cap Engy 2X Dly Bull ETF          	TSX       
HEUR      	Harvest European Leaders Income ETF               	TSX       
HEW       	Horizons S&P TSX 60 Equal Wgt ETF                 	TSX       
HEX       	Horizons Enhanced Income Equity ETF               	TSX       
HEXO      	Hexo Corp                                         	TSX       
HEXO.WT   	The Hydropothecary Corporation Wts                	TSX       
HFA       	Hamilton Capital Australian Fin Yld ETF           	TSX       
HFD       	Betapro S&P TSX Cap Fncl 2X Dly Bear ETF          	TSX       
HFMU      	Hamilton Capital US Mid Financial Etfcad          	TSX       
HFMU.U    	Hamilton Capital US Mid Financials ETF            	TSX       
HFP       	Horizons Active Flt Rate Pref ETF                 	TSX       
HFR       	Horizons Active Floating Rate Bond ETF            	TSX       
HFU       	Betapro S&P TSX Cap Fncl 2X Dly Bull ETF          	TSX       
HFY       	Hamilton Capital Global Fin Yield ETF             	TSX       
HFY.U     	Hamilton Capital Glbl Fin Yield ETF USD           	TSX       
HGC       	Horizons Global Currency Opp ETF                  	TSX       
HGD       	Betapro CDN Gold Miners 2X Dly Bear ETF           	TSX       
HGI.UN    	Global Telecom and Utilities In Fd                	TSX       
HGM       	Horizons Managed Global Oppt ETF                  	TSX       
HGR       	Harvest Global REIT Leaders Income ETF            	TSX       
HGU       	Betapro CDN Gold Miners 2X Dly Bull ETF           	TSX       
HGY       	Horizons Gold Yield ETF                           	TSX       
HHF       	Horizons Morningstar Hdg Fd ETF                   	TSX       
HHL       	Harvest Healthcare Leaders Income ETF             	TSX       
HHL.U     	Harvest Healthcare Leaders Income ETF USD         	TSX       
HID       	Wisdomtree US High Div ETF                        	TSX       
HIG       	Global Healthcare Income Growth ETF               	TSX       
HII       	Horizons CDN Insider Index ETF                    	TSX       
HIU       	Betapro Sp500 Daily Inverse ETF                   	TSX       
HIX       	Betapro S&P TSX 60 Daily Inverse ETF              	TSX       
HLC       	Holloway Lodging Corp                             	TSX       
HLC.DB    	Holloway Lodging Corp 6.25 Pct Debs B             	TSX       
HLC.DB.A  	Holloway Lodging Corp 7.50 Pct Debs C             	TSX       
HLF       	High Liner                                        	TSX       
HMM.A     	Hammond Manufacturing Co. Ltd Cl A. Sv            	TSX       
HMMJ      	Horizons Marijuana Life Sciences ETF              	TSX       
HMMJ.U    	Horizons Marijuana Life Sciences Idx USD          	TSX       
HMP       	Horizons Active CDN Municipal Bond ETF            	TSX       
HND       	Betapro Nat Gas 2X Daily Bear ETF                 	TSX       
HNL       	Horizon North Logistics Inc                       	TSX       
HNU       	Betapro Nat Gas 2X Daily Bull ETF                 	TSX       
HNY       	Horizons Natural Gas Yield ETF                    	TSX       
HOD       	Betapro Crude Oil 2X Daily Bear ETF               	TSX       
HOG       	Horizons CDN Midstream Oil Gas ETF                	TSX       
HOM.U     	Bsr Real Estate Investment Trust                  	TSX       
HOT.DB.U  	American Hotel Inc Prop REIT 5 Pct Debs           	TSX       
HOT.U     	American Hotel Income Properties REIT US          	TSX       
HOT.UN    	American Hotel Income Properties REIT LP          	TSX       
HOU       	Betapro Crude Oil 2X Daily Bull ETF               	TSX       
HPF       	Harvest Energy Leaders Plus Income ETF            	TSX       
HPF.U     	Harvest Energy Leaders Plus Income ETF USD        	TSX       
HPR       	Horizons Active Pref Share ETF                    	TSX       
HPS.A     	Hammond Power Solutions Inc Cl A. Sv              	TSX       
HQD       	Betapro Nasdaq 100 2X Daily Bear ETF              	TSX       
HQU       	Betapro Nasdaq 100 2X Daily Bull ETF              	TSX       
HR.UN     	H&R Real Estate Inv Trust                         	TSX       
HRA       	Horizons Global Risk Parity ETF                   	TSX       
HRES      	Harvest Global Resource Leaders ETF               	TSX       
HRR.UN    	Australian REIT Income Fund                       	TSX       
HRT       	Harte Gold Corp                                   	TSX       
HRX       	Heroux-Devtek                                     	TSX       
HSD       	Betapro Sp500 2X Daily Bear ETF                   	TSX       
HSE       	Husky Energy Inc                                  	TSX       
HSE.PR.A  	Husky Energy Inc Pref Ser 1                       	TSX       
HSE.PR.B  	Husky Energy Inc Pref Ser 2                       	TSX       
HSE.PR.C  	Husky Energy Inc Pref Ser 3                       	TSX       
HSE.PR.E  	Husky Energy Inc Pref Ser 5                       	TSX       
HSE.PR.G  	Husky Energy Inc Pref Ser 7                       	TSX       
HSH       	Horizons Sp500 CAD Hedged Index ETF               	TSX       
HSL       	Horizons Active Float Rate Sen Loan ETF           	TSX       
HSM       	Helius Medical Technologies Inc                   	TSX       
HSM.WT    	Helius Medical Technologies Inc Wts               	TSX       
HSU       	Betapro Sp500 2X Daily Bull ETF                   	TSX       
HTA       	Harvest Tech Achievers Growth & Income ETF        	TSX       
HTA.U     	Harvest Tech Achievers Growth & Income ETF USD    	TSX       
HTB       	Horizons US 7 To 10 Yr Treasury Bond ETF          	TSX       
HTB.U     	Horizons US 7 To 10 Yr Treas Bd ETF USD           	TSX       
HTH       	Horizons US 7 10 Yr Treas Bd CAD Heg ETF          	TSX       
HTO.UN    	Global Water Solutions Fund                       	TSX       
HUBL      	Harvest US Bank Leaders Income ETF                	TSX       
HUBL.U    	Harvest US Bank Leaders Income ETF USD            	TSX       
HUC       	Horizons Crude Oil ETF                            	TSX       
HUF       	Horizons Active US Float Rate Bd ETF CAD          	TSX       
HUF.U     	Horizons Active US Floating Rate Bd ETF           	TSX       
HUG       	Horizons Gold ETF                                 	TSX       
HUL       	Harvest US Equity Plus Income ETF                 	TSX       
HUL.U     	Harvest US Equity Plus Income ETF USD             	TSX       
HUN       	Horizons Natural Gas ETF                          	TSX       
HUV       	Betapro Sp500 VIX ST Ftrs ETF                     	TSX       
HUZ       	Horizons Silver ETF                               	TSX       
HWF.UN    	Middlefield Healthcare Wellness Div               	TSX       
HWO       	High Arctic Energy Services Inc                   	TSX       
HXD       	Betapro S&P TSX 60 2X Daily Bear ETF              	TSX       
HXDM      	Horizons Intl Dev Mkts Equity Index ETF           	TSX       
HXDM.U    	Horizons Intl Dev Mkts Eqty Idx USD ETF           	TSX       
HXE       	Horizons S&P TSX Capped Energy Index ETF          	TSX       
HXF       	Horizons S&P TSX Capped Fncl Index ETF            	TSX       
HXH       	Horizons CDN High Dividend Index ETF              	TSX       
HXQ       	Horizons Nasdaq 100 Index ETF                     	TSX       
HXQ.U     	Horizons Nasdaq 100 Index ETF USD                 	TSX       
HXS       	Horizons S&P 500 Index ETF                        	TSX       
HXS.U     	Horizons S&P 500 Index ETF USD                    	TSX       
HXT       	Horizons S&P Tsx60 Index ETF                      	TSX       
HXT.U     	Horizons S&P TSX 60 Index ETF USD                 	TSX       
HXU       	Betapro S&P TSX 60 2X Daily Bull ETF              	TSX       
HXX       	Horizons Euro Stoxx 50 Index ETF                  	TSX       
HYD       	Hyduke Energy Services Inc                        	TSX       
HYG       	Hydrogenics Corp                                  	TSX       
HYI       	Horizons Active High Yield Bond ETF               	TSX       
HZD       	Betapro Silver 2X Daily Bear ETF                  	TSX       
HZM       	Horizonte Minerals Plc                            	TSX       
HZU       	Betapro Silver 2X Daily Bull ETF                  	TSX       
IAG       	Industrial Alliance Ins & Fin Srv Inc             	TSX       
IAG.PR.A  	Industrial Alliance Ins & Fin Srv Ser B           	TSX       
IAG.PR.G  	Industrial Alliance Pref Ser G                    	TSX       
IAG.PR.I  	Industrial Alliance Pref Ser I                    	TSX       
IAM       	Integrated Asset Management Corp                  	TSX       
IBG       	Ibi Group Inc                                     	TSX       
IBG.DB.D  	Ibi Group Inc 5.50 Pct Debs                       	TSX       
ICE       	Canlan ICE Sports Corp                            	TSX       
ICPB      	Ia Clarington Core Plus Bond Fund                 	TSX       
IDG       	Indigo Books & Music Inc                          	TSX       
IDR.UN    	REIT Indexplus Income Fund                        	TSX       
IFA       	Ifabric Corp                                      	TSX       
IFB.UN    	Investment Grade Infrstrctr Bond Fund             	TSX       
IFC       	Intact Financial Corp                             	TSX       
IFC.PR.A  	Intact Financial Corp Pref Cl A                   	TSX       
IFC.PR.C  	Intact Financial Corp Pref Cl A                   	TSX       
IFC.PR.D  	Intact Financial Corp Pref Shares Ser 4           	TSX       
IFC.PR.E  	Intact Financial Corp Pref Cl A Ser 5             	TSX       
IFC.PR.F  	Intact Financial Corp Pref Shares Ser 6           	TSX       
IFC.PR.G  	Intact Financial Corp Pref Shares Ser 7           	TSX       
IFP       	Interfor Corp                                     	TSX       
IGB       	Purpose Mngd Duration Invest Bond ETF             	TSX       
IGCF      	Pimco Investment Grade Credit Fund                	TSX       
IGM       	Igm Financial Inc                                 	TSX       
IGM.PR.B  	Igm Financial Inc 5.90 Pref Ser B                 	TSX       
III       	Imperial Metals Corp                              	TSX       
IIP.UN    	Interrent Real Estate Investment Trust            	TSX       
ILV       	Powershares S&P Intl Dev Low Vol ETF              	TSX       
IMG       	Iamgold Corp                                      	TSX       
IMO       	Imperial Oil                                      	TSX       
IMP       	Intermap Tech Corp                                	TSX       
IMV       	Immunovaccine Inc                                 	TSX       
IN        	Inmed Pharmaceuticals In                          	TSX       
IN.WT     	Inmed Pharmaceuticals Inc Wts                     	TSX       
INC.UN    	Income Fin Un                                     	TSX       
INE       	Innergex Renewable Energy Inc                     	TSX       
INE.DB.A  	Innergex Renewable Energy 4.25 Pct Debs           	TSX       
INE.DB.B  	Innergex Renewable Energy 4.75 Pct Debs           	TSX       
INE.PR.A  	Innergex Renewable Energy Pref Ser A              	TSX       
INE.PR.C  	Innergex Renewable Energy Inc Pref Ser C          	TSX       
INO.UN    	Inovalis REIT                                     	TSX       
INOC      	Horizons Inovestor CDN Equity Index ETF           	TSX       
INQ       	Inscape Corp Sv                                   	TSX       
INSR      	BMO Glb Insurance Hgd To CAD ETF                  	TSX       
INV       	Inv Metals Inc                                    	TSX       
IPCI      	Intellipharmaceutics International Inc            	TSX       
IPCO      	International Petroleum Corp                      	TSX       
IPL       	Inter Pipeline Ltd                                	TSX       
IPLP      	Ipl Plastics Inc                                  	TSX       
IPO       	Inplay Oil Corp                                   	TSX       
IQD       	Wisdomtree Intl Qlty Div Gwth ETF                 	TSX       
IQD.B     	Wisdomtree Intl Qlty Div Gwth ETF Nh              	TSX       
IRON      	Alderon Iron Ore Corp                             	TSX       
ISV       	Information Services Corp                         	TSX       
ITC       	Intrinsyc Technologies Corp                       	TSX       
ITH       	International Tower Hill Mines Ltd                	TSX       
ITP       	Intertape Polymer                                 	TSX       
ITX       	The Intertain Group Limited                       	TSX       
IVN       	Ivanhoe Mines Ltd                                 	TSX       
IVQ.DB.U  	Invesque Inc 5.00 Pct Debs                        	TSX       
IVQ.DB.V  	Invesque Inc 6.00 Pct Debs USD                    	TSX       
IVQ.U     	Invesque Inc                                      	TSX       
JAG       	Jaguar Mining Inc                                 	TSX       
JAPN      	Wisdomtree Japan Equity Index ETF                 	TSX       
JAPN.B    	Wisdomtree Japan Equity Index ETF Nh              	TSX       
JE        	Just Energy Group Inc                             	TSX       
JE.DB.C   	Just Energy Group Inc 6.75 Pct Debs               	TSX       
JE.DB.D   	Just Energy Group Inc 6.75 Pct Debs               	TSX       
JE.PR.U   	Just Energy Group Inc Pref USD                    	TSX       
JFS.UN    	Jft Strategies Fund                               	TSX       
JOY       	Journey Energy Inc                                	TSX       
JWEL      	Jamieson Wellness Inc                             	TSX       
K         	Kinross Gold Corp                                 	TSX       
KAT       	Katanga Mining Limited                            	TSX       
KBL       	Kbro Linen Inc                                    	TSX       
KEG.UN    	Keg Royalties Income Fund                         	TSX       
KEL       	Kelt Exploration Ltd                              	TSX       
KEL.DB    	Kelt Exploration Ltd 5.0 Pct Debs                 	TSX       
KER       	Kerr Mines Inc                                    	TSX       
KEW       	Kew Media Group Inc                               	TSX       
KEW.WT    	Kew Media Group Inc Wts                           	TSX       
KEY       	Keyera Corp                                       	TSX       
KFS       	Kingsway Fin                                      	TSX       
KFS.WT.V  	Kingsway Fin Svcs Warrants Ser B USD              	TSX       
KILO      	Purp Gld Bullion Tu                               	TSX       
KILO.B    	Purpose Gold Bullion Fund Non Hedged              	TSX       
KL        	Kirkland Lake Gold Ltd                            	TSX       
KLS       	Kelso Technologies Inc                            	TSX       
KML       	Kinder Morgan Cda Ltd                             	TSX       
KML.PR.A  	Kinder Morgan Cda Ltd Pref Ser 1                  	TSX       
KML.PR.C  	Kinder Morgan Cda Ltd Pref Ser 3                  	TSX       
KMP.UN    	Killam Apartment REIT                             	TSX       
KOR       	Corvus Gold Inc                                   	TSX       
KPT       	Kp Tissue Inc                                     	TSX       
KRN       	Karnalyte Resources Inc                           	TSX       
KRN.RT    	Karnalyte Resources Inc RTS                       	TSX       
KWH.UN    	Crius Energy Trust                                	TSX       
KXS       	Kinaxis Inc                                       	TSX       
L         	Loblaw Co                                         	TSX       
L.PR.B    	Loblaw Companies Ltd 2nd Pref Ser B               	TSX       
LAC       	Lithium Americas Corp                             	TSX       
LAM       	Laramide Resources Ltd                            	TSX       
LAS.A     	Lassonde Industries Inc Cl A Sv                   	TSX       
LB        	Laurentian Bank                                   	TSX       
LB.PR.H   	Laurentian Bank of Cda Pr Ser 13                  	TSX       
LB.PR.J   	Laurentian Bank of Cda Pr Ser 15                  	TSX       
LBS       	Life & Banc Split Corp                            	TSX       
LBS.PR.A  	Life & Banc Split Corp                            	TSX       
LCS       	Brompton Lifeco Split Corp Class A                	TSX       
LCS.PR.A  	Brompton Lifeco Split Corp Pref Shares            	TSX       
LDGR      	Coincapital Stoxx Blkchain Patents Inov           	TSX       
LFE       	Canadian Life Companies Split Corp                	TSX       
LFE.PR.B  	Canadian Life Split 2012 Pref Sh                  	TSX       
LFX       	Leadfx Inc                                        	TSX       
LGD       	Liberty Gold Corp                                 	TSX       
LGD.WT    	Liberty Gold Corp Wts                             	TSX       
LGO       	Largo Resources Ltd                               	TSX       
LGT.A     	Logistec Corporation Cl.A Mv                      	TSX       
LGT.B     	Logistec Corporation Cl.B Sv                      	TSX       
LIF       	Labrador Iron Ore Royalty Corp                    	TSX       
LIFE      	Evolve Glbl Healthcare Enhance Yld ETF            	TSX       
LIFE.B    	Evolve Glbl Healthcare Enhance Yld Unheg          	TSX       
LINK      	Evolve Blockchain ETF                             	TSX       
LMC       	Leagold Mining Corp                               	TSX       
LN        	Loncor Resources Inc                              	TSX       
LNF       	Leons Furniture                                   	TSX       
LNR       	Linamar Corp                                      	TSX       
LS.UN     	Middlefield Healthcare Ls Div Fd                  	TSX       
LUC       	Lucara Diamond Corp                               	TSX       
LUG       	Lundin Gold Inc                                   	TSX       
LUN       	Lundin Mining Corp                                	TSX       
LVN       	Levon Resources Ltd                               	TSX       
LVU.UN    	Low Volatility US Equity Income Fund              	TSX       
LXR       	Lxrandco Inc                                      	TSX       
LXR.WT    	Lxrandco Inc Wts                                  	TSX       
LYD       	Lydian International Limited                      	TSX       
MAG       	MAG Silver Corp                                   	TSX       
MAL       	Magellan Aero                                     	TSX       
MAV       	Mav Beauty Brands Inc                             	TSX       
MAW       	Mawson Resources Ltd                              	TSX       
MAX       	Midas Gold Inc                                    	TSX       
MAXR      	Maxar Technologies Ltd                            	TSX       
MBA       	Cibt Education Group Inc                          	TSX       
MBK.UN    	Manulife US Regional Bank Trust                   	TSX       
MBN       	Mbn Corp                                          	TSX       
MBX       	Microbix J                                        	TSX       
MCB       	Mccoy Global Inc                                  	TSX       
MCLC      	Manulife Mltfactor CDN Large Cap Uh ETF           	TSX       
MCSB      	Mackenzie CDN Short Term Fixed Inc ETF            	TSX       
MCSM      	Manulife Mulfact CDN Smid Cap Idx ETF             	TSX       
MDF       	Mediagrif Interac                                 	TSX       
MDI       	Major Drilling Grp                                	TSX       
MDNA      	Medicenna Therapeutics Corp                       	TSX       
MDS.UN    	Healthcare Special Opp Fund                       	TSX       
ME        	Moneta Porcupine J                                	TSX       
MEE       	Mackenzie Max Diverse Emg Mkts ETF                	TSX       
MEG       	Meg Energy Corp                                   	TSX       
MEQ       	Mainstreet Eq J                                   	TSX       
MEU       	Mackenzie Max Diversif Dev EUR ETF                	TSX       
MFC       	Manulife Fin                                      	TSX       
MFC.PR.B  	Manulife Financial Cl A Pref Ser 2                	TSX       
MFC.PR.C  	Manulife Financial Cl A Pref Ser 3                	TSX       
MFC.PR.F  	Manulife Financial Cl 1 Sh Ser 3                  	TSX       
MFC.PR.G  	Manulife Financial Non Cum Cla 1 Ser 5            	TSX       
MFC.PR.H  	Manulife Financial Pref Ser 7                     	TSX       
MFC.PR.I  	Manulife Financial Pref Ser 9                     	TSX       
MFC.PR.J  	Manulife Financial Class 1 Ser 11                 	TSX       
MFC.PR.K  	Manulife Financial Pref Ser 13                    	TSX       
MFC.PR.L  	Manulife Financial Pref Ser 15                    	TSX       
MFC.PR.M  	Manulife Financial Pref Ser 17                    	TSX       
MFC.PR.N  	Manulife Financial Pref Ser 19                    	TSX       
MFC.PR.O  	Manulife Financial Pref Ser 21                    	TSX       
MFC.PR.P  	Manulife Financial Class 1 Sh Ser 4               	TSX       
MFC.PR.Q  	Manulife Financial Corp Pref Series 25            	TSX       
MFC.PR.R  	Manulife Financial Pref Ser 23                    	TSX       
MFI       	Maple Leaf Foods                                  	TSX       
MFR.UN    	Manulife Floating Rate Senior Loan Fund           	TSX       
MFT       	Mackenzie Floating Rate Income ETF                	TSX       
MG        	Magna International Inc                           	TSX       
MGA       	Mega Uranium Ltd                                  	TSX       
MGB       	Mackenzie Core Pls Glob Fixed Inc ETF             	TSX       
MI.UN     	Minto Apartment REIT                              	TSX       
MIC       	Genworth Mi Canada Inc                            	TSX       
MID.UN    	Mint Income Fund                                  	TSX       
MIN       	Excelsior Mining Corp                             	TSX       
MIND      	Horizons Active Ai Global Equity ETF              	TSX       
MINT      	Manulife Mltfactor Dev Intl Hgd ETF               	TSX       
MINT.B    	Manulife Mltfactor Dev Intl Uh ETF                	TSX       
MIVG      	Mackenzie Ivy Global Equity ETF                   	TSX       
MKB       	Mackenzie Core Pls CDN Fixed Income ETF           	TSX       
MKC       	Mackenzie Max Dvrs Cda Index ETF                  	TSX       
MKP       	Mcan Mortgage Corp                                	TSX       
MKZ.UN    	Mackenzie Mstr Un                                 	TSX       
MLD.UN    	Moneda Latam Corp Bond Fund                       	TSX       
MMP.UN    	Precious Metals and Mining Trust                  	TSX       
MND       	Mandalay Resources Corp                           	TSX       
MNR       	Mason Resources Corp                              	TSX       
MNS       	Royal CDN Mint CDN Silver Reserves Etr            	TSX       
MNT       	Royal Canadian Mint CDN Gold Reserves             	TSX       
MNT.U     	Royal Canadian Mint CDN Gld Reserves USD          	TSX       
MNW       	Mitel Networks Corp                               	TSX       
MOGO      	Mogo Finance Technology Inc                       	TSX       
MOGO.DB   	Mogo Finance Tech Inc 10.0 Pct Debs               	TSX       
MOZ       	Marathon Gold Corp                                	TSX       
MPC       	Madison Pac Cl B                                  	TSX       
MPC.C     	Madison Pacific Properties Inc Cl.C Nv            	TSX       
MPCF      	Mackenzie Portfolio Completion ETF                	TSX       
MPVD      	Mountain Province Diamonds Inc                    	TSX       
MQR       	Monarques Gold Corp                               	TSX       
MR.DB     	Melcor REIT 5.50 Pct Debs                         	TSX       
MR.DB.A   	Melcor REIT 5.25 Pct Debs                         	TSX       
MR.UN     	Melcor REIT                                       	TSX       
MRC       	Morguard Corp                                     	TSX       
MRD       	Melcor Dev                                        	TSX       
MRE       	Martinrea International Inc                       	TSX       
MRG.DB.A  	Morguard Na REIT 4.50 Pct Debs                    	TSX       
MRG.UN    	Morguard Na Residential REIT Units                	TSX       
MRT.DB    	Morguard REIT 4.50 Pct Debs                       	TSX       
MRT.UN    	Morguard Un                                       	TSX       
MRU       	Metro Inc                                         	TSX       
MSI       	Morneau Shepell Inc                               	TSX       
MSI.DB.A  	Morneau Shepell Inc 4.75 Pct Debs                 	TSX       
MSV       	Minco Silver Corp                                 	TSX       
MTL       	Mullen Group Ltd                                  	TSX       
MTY       	Mty Food Group Inc                                	TSX       
MUB       	Mackenzie Unconstrained Bond ETF                  	TSX       
MULC      	Manulife Mltfactor US Large Cap Hgd ETF           	TSX       
MULC.B    	Manulife Mltfactor US Large Cap Uh ETF            	TSX       
MUMC      	Manulife Mltfactor US Mid Cap Hgd ETF             	TSX       
MUMC.B    	Manulife Mltfactor US Mid Cap Uh ETF              	TSX       
MUS       	Mackenzie Max Dvrs US Index ETF                   	TSX       
MUSC      	Manulife Mulfact US Scap Idx ETF Hegd             	TSX       
MUSC.B    	Manulife Mulfact US Scap Idx ETF Unheg            	TSX       
MUX       	Mcewen Mining Inc                                 	TSX       
MWD       	Mackenzie Max Diversif World Dev ETF              	TSX       
MX        	Methanex Corp                                     	TSX       
MXF       	First Asset Can-Materials Cvr Call ETF            	TSX       
MXG       	Maxim Power Corp                                  	TSX       
MXU       	Mackenzie Max Divers Wrld Dev Ex Na ETF           	TSX       
MYA       	Maya Gold & Silver Inc                            	TSX       
NA        	National Bank of Canada                           	TSX       
NA.PR.A   	National Bank Pref Ser 36                         	TSX       
NA.PR.C   	National Bank Pref Ser 38                         	TSX       
NA.PR.E   	National Bank Pref Series 40                      	TSX       
NA.PR.G   	National Bank Pref Series 42                      	TSX       
NA.PR.S   	National Bank Pref Ser 30                         	TSX       
NA.PR.W   	National Bank Pref Ser 32                         	TSX       
NA.PR.X   	National Bank Pref Ser 34                         	TSX       
NB        	Niocorp Developments Ltd                          	TSX       
NCD.UN    	Fa North American Covertibles Fund                	TSX       
NCF       	Northcliff Resources Ltd                          	TSX       
NCP       	Nickel Creek Platinum Corp                        	TSX       
NCU       	Nevada Copper Corp                                	TSX       
NDM       	Northern Dynasty Minerals Ltd                     	TSX       
NDM.WT.A  	Northern Dynasty Minerals Ltd Wts A               	TSX       
NDM.WT.B  	Northern Dynasty Minerals Ltd Wts B               	TSX       
NEO       	NEO Performance Materials Inc                     	TSX       
NEPT      	Neptune Wellness Solutions Inc.                   	TSX       
NEW.A     	Newgrowth Cl A                                    	TSX       
NEW.PR.D  	Newgrowth Corp Class B Pref Ser 3                 	TSX       
NEXA      	Nexa Resources S.A.                               	TSX       
NEXT      	Nextsource Materials Inc                          	TSX       
NFI       	New Flyer Industries Inc                          	TSX       
NG        	Novagold Res Inc                                  	TSX       
NGD       	New Gold Inc                                      	TSX       
NGI.UN    	Ndx Growth and Income Fund                        	TSX       
NGQ       	Ngex Resources Inc                                	TSX       
NHK       	Nighthawk Gold Corp                               	TSX       
NIF.UN    	Noranda Income Fund                               	TSX       
NKO       	Niko Res                                          	TSX       
NKO.NT    	Niko Resources Ltd 7.00 Pct NTS                   	TSX       
NML       	New Millennium Iron Corp                          	TSX       
NMX       	Nemaska Lithium Inc                               	TSX       
NMX.WT    	Nemaska Lithium Inc Wts                           	TSX       
NOA       	North American Energy Partners Inc                	TSX       
NOA.DB    	Na Energy Partners Inc 5.50 Pct Debs              	TSX       
NPF.UN    	North American Pref Share Fund                    	TSX       
NPI       	Northland Power Inc                               	TSX       
NPI.DB.B  	Northland Power Inc 5.00 Pct Debs                 	TSX       
NPI.DB.C  	Northland Power Inc 4.75 Pct Debs                 	TSX       
NPI.PR.A  	Northland Power Pref Equity Inc                   	TSX       
NPI.PR.B  	Northland Power Inc Pref Ser 2                    	TSX       
NPI.PR.C  	Northland Power Inc Pref Ser 3                    	TSX       
NPK       	Verde Agritech Plc                                	TSX       
NRI       	Nuvo Pharmaceuticals Inc                          	TSX       
NSU       	Nevsun Res J                                      	TSX       
NTR       	Nutrien Ltd                                       	TSX       
NUS       	Nautilus Minerals Inc                             	TSX       
NVA       	Nuvista Energy Ltd                                	TSX       
NVCN      	Neovasc Inc                                       	TSX       
NVU.DB    	Northview Apartment REIT 5.75 Pct Debs            	TSX       
NVU.UN    	Northview Apartment REIT                          	TSX       
NWC       	The North West Company Inc                        	TSX       
NWH.DB    	Northwest Healthcare Prop REIT 5.25 Debs          	TSX       
NWH.DB.C  	Northwest Healthcare Prop 7.25 Pct Debs           	TSX       
NWH.DB.D  	Northwest Healthcare Prop 5.50 Pct Debs           	TSX       
NWH.DB.E  	Northwest Healthcare Prop 5.25 Pct Debs           	TSX       
NWH.DB.F  	Northwest Healthcare Prop 5.25 Pct Debs           	TSX       
NWH.DB.G  	Northwest Healthcare Prop REIT 5.50 Debs          	TSX       
NWH.UN    	Northwest Healthcare Prop REIT                    	TSX       
NXE       	Nexgen Energy Ltd                                 	TSX       
NXF       	First Asset Energy Giants Cov Call ETF            	TSX       
NXF.B     	First Asset Energy Giants ETF Unhedged            	TSX       
NXJ       	Nexj Systems Inc                                  	TSX       
NZC       	Norzinc Ltd                                       	TSX       
OBE       	Obsidian Energy Ltd                               	TSX       
OCS.UN    	Ocp Credit Strategy Fund                          	TSX       
OGC       	Oceanagold Corp                                   	TSX       
OGD       	Orbit Garant Drilling Inc                         	TSX       
OLA       	Orla Mining Ltd                                   	TSX       
OLY       	Olympia Financial Group Inc                       	TSX       
OMI       	Orosur Mining Inc                                 	TSX       
ONC       	Oncolytics Bio                                    	TSX       
ONC.WT    	Oncolytics Biotech Inc Wts                        	TSX       
ONEB      	One North Amer Tu                                 	TSX       
ONEQ      	One Global Equity ETF                             	TSX       
ONEX      	Onex Corp                                         	TSX       
OPS       	Opsens Inc                                        	TSX       
OPT       	Optiva Inc                                        	TSX       
OR        	Osisko Gold Royalties Ltd                         	TSX       
OR.DB     	Osisko Gold Royalties Ltd 4.00 Pct Debs           	TSX       
OR.WT     	Osisko Gold Royalties Ltd Wts                     	TSX       
OR.WT.A   	Osisko Gold Royalties Ltd Wts A                   	TSX       
ORA       	Aura Minerals Inc                                 	TSX       
ORL       	Orocobre Limited                                  	TSX       
ORV       	Orvana Minerals J                                 	TSX       
OSB       	Norbord Inc                                       	TSX       
OSK       	Osisko Mining Inc                                 	TSX       
OSL.UN    	Ocp Senior Credit Fund                            	TSX       
OSP       	Brompton Oil Split Corp                           	TSX       
OSP.PR.A  	Brompton Oil Split Corp Pref                      	TSX       
OTEX      	Open Text Corp                                    	TSX       
OXC       	Oryx Petroleum Corporation Ltd                    	TSX       
PAAS      	Pan American Silver Corp                          	TSX       
PAR.UN    	Partners REIT Units                               	TSX       
PATH      	Counterpath Corp                                  	TSX       
PAY       	Posera Ltd                                        	TSX       
PBD       	Purpose Total Return Bond Fund ETF                	TSX       
PBH       	Premium Brands Holdings Corp                      	TSX       
PBH.DB.E  	Premium Brands Hld Corp 4.65 Pct Debs             	TSX       
PBH.DB.F  	Premium Brands Hld Corp 4.60 Pct Debs             	TSX       
PBH.DB.G  	Premium Brands Holdings 4.65 Pct Debs             	TSX       
PBI       	Purpose Best Ideas Fund ETF                       	TSX       
PBI.B     	Purpose Best Ideas Fund Non Hdg                   	TSX       
